feature_name,sample,index,feature_value,shap_effect,shap_effect_sd,intercept,lo,med,hi,mae
AGE,1,1,0.2916368834882059,-0.036054560230093555,0.1645897806052038,1.9752567969229848,-0.1434807499999787,-0.013703424915425286,0.10951877104161173,0.222668151793925
WT,1,1,0.09204840103716502,-0.8030751310892853,0.877029062652922,1.9752567969229848,-1.887029289620707,-0.9081599757237802,-0.03492690035629437,0.7231386221501294
ALB,1,1,0.5283018867924529,-0.18035041015929226,0.513364161448208,1.9752567969229848,-0.5817998517290058,-0.23668833051643043,-0.017721628522373287,0.4594806948104165
EGFR,1,1,0.6461632155907432,-0.0971905193847556,0.1495337070672059,1.9752567969229848,-0.5034627894902343,-0.06542482165431385,0.31702337879959885,0.11548356538456035
AGE,2,1,0.2916368834882059,-0.03755088384544211,0.1676807862340915,2.240407136289019,-0.1434807499999787,-0.013703424915425286,0.10951877104161173,0.21313305621803041
WT,2,1,0.09204840103716502,-1.0145680671166608,1.0576269574292478,2.240407136289019,-1.887029289620707,-0.9081599757237802,-0.03492690035629437,0.8885999164225606
ALB,2,1,0.5283018867924529,-0.15127271386648095,0.4721107393153074,2.240407136289019,-0.5817998517290058,-0.23668833051643043,-0.017721628522373287,0.43169322066853755
EGFR,2,1,0.6461632155907432,-0.03513518957288197,0.0901490772209774,2.240407136289019,-0.5034627894902343,-0.06542482165431385,0.31702337879959885,0.055600686720922825
AGE,3,1,0.2916368834882059,-0.02180335487724615,0.0615499400899862,3.501962257930759,-0.1434807499999787,-0.013703424915425286,0.10951877104161173,0.03519867455377828
WT,3,1,0.09204840103716502,-1.685682583771355,1.749864439125848,3.501962257930759,-1.887029289620707,-0.9081599757237802,-0.03492690035629437,1.3502366831110415
ALB,3,1,0.5283018867924529,-0.4757940997631546,1.2192400634721887,3.501962257930759,-0.5817998517290058,-0.23668833051643043,-0.017721628522373287,1.1792311679349405
EGFR,3,1,0.6461632155907432,-0.09398179519290772,0.26129716788668383,3.501962257930759,-0.5034627894902343,-0.06542482165431385,0.31702337879959885,0.1688634487135446
AGE,4,1,0.2916368834882059,-0.02759733791701105,0.1440213459668454,2.229650775678842,-0.1434807499999787,-0.013703424915425286,0.10951877104161173,0.12436043675989845
WT,4,1,0.09204840103716502,-0.7577301183479648,0.8760643260627072,2.229650775678842,-1.887029289620707,-0.9081599757237802,-0.03492690035629437,0.7174084591954789
ALB,4,1,0.5283018867924529,-0.1656922133517912,0.501954579222731,2.229650775678842,-0.5817998517290058,-0.23668833051643043,-0.017721628522373287,0.4623858535658551
EGFR,4,1,0.6461632155907432,-0.24931245920943298,0.2618000391091411,2.229650775678842,-0.5034627894902343,-0.06542482165431385,0.31702337879959885,0.22260122200148455
AGE,5,1,0.2916368834882059,-0.04265957741377658,0.3918507807647141,4.276307631193197,-0.1434807499999787,-0.013703424915425286,0.10951877104161173,0.44001587233879746
WT,5,1,0.09204840103716502,-1.474409311223373,1.5527872537607592,4.276307631193197,-1.887029289620707,-0.9081599757237802,-0.03492690035629437,1.3174332932258033
ALB,5,1,0.5283018867924529,-0.2300953213264325,0.7511771540347882,4.276307631193197,-0.5817998517290058,-0.23668833051643043,-0.017721628522373287,0.7307482407719585
EGFR,5,1,0.6461632155907432,-0.08184634334244187,0.1329919725268498,4.276307631193197,-0.5034627894902343,-0.06542482165431385,0.31702337879959885,0.10213440287006571
AGE,6,1,0.2916368834882059,0.07703103414764695,0.35600973281951953,3.9893008645605867,-0.1434807499999787,-0.013703424915425286,0.10951877104161173,0.24411588979060783
WT,6,1,0.09204840103716502,-1.2941786132692572,1.546942879343767,3.9893008645605867,-1.887029289620707,-0.9081599757237802,-0.03492690035629437,1.247131464080519
ALB,6,1,0.5283018867924529,-0.3140391654558662,0.8904298717708156,3.9893008645605867,-0.5817998517290058,-0.23668833051643043,-0.017721628522373287,0.8947463680609279
EGFR,6,1,0.6461632155907432,-0.11626204507593745,0.35519407350095233,3.9893008645605867,-0.5034627894902343,-0.06542482165431385,0.31702337879959885,0.23351949613825393
AGE,7,1,0.2916368834882059,-0.1420522778322474,0.34537840408315124,1.38747586671764,-0.1434807499999787,-0.013703424915425286,0.10951877104161173,0.46002616069767355
WT,7,1,0.09204840103716502,-0.42058515167987437,0.5159554451884231,1.38747586671764,-1.887029289620707,-0.9081599757237802,-0.03492690035629437,0.39914518900927576
ALB,7,1,0.5283018867924529,-0.13374355057003803,0.39862346274415006,1.38747586671764,-0.5817998517290058,-0.23668833051643043,-0.017721628522373287,0.40117936715752084
EGFR,7,1,0.6461632155907432,-0.2538651979979486,0.343813833553934,1.38747586671764,-0.5034627894902343,-0.06542482165431385,0.31702337879959885,0.2823269997684087
AGE,8,1,0.2916368834882059,-0.008238815488496656,0.08372556482906468,2.6968999339821176,-0.1434807499999787,-0.013703424915425286,0.10951877104161173,0.055827020535306464
WT,8,1,0.09204840103716502,-1.267445526823684,1.6737319574894622,2.6968999339821176,-1.887029289620707,-0.9081599757237802,-0.03492690035629437,1.1977555430065592
ALB,8,1,0.5283018867924529,-0.41439248360982034,1.1720528815420723,2.6968999339821176,-0.5817998517290058,-0.23668833051643043,-0.017721628522373287,0.8831836704129434
EGFR,8,1,0.6461632155907432,-0.2801287957226844,0.25374833030143873,2.6968999339821176,-0.5034627894902343,-0.06542482165431385,0.31702337879959885,0.21489987455173054
AGE,9,1,0.2916368834882059,0.07194505282502155,0.16605461501432406,4.872829216186747,-0.1434807499999787,-0.013703424915425286,0.10951877104161173,0.12637019287648377
WT,9,1,0.09204840103716502,-0.16581178528832397,0.21984175396068942,4.872829216186747,-1.887029289620707,-0.9081599757237802,-0.03492690035629437,0.168045294875763
